company,mark,city,year,price,engine,power,transmission,gear,body_type,color,mileage,wheel,generation,equipment,public_date,views,description
Ford,Focus,"Сургут, Ханты-Мансийский автономный округ",2016,1234000,бензин 1.6 л,105л.с.,механика,передний,хэтчбек 5 дв.,белый,74609км,левый,3 поколение рестайлинг,1.6 MT SYNC Edition,05.05.2024, 18,"Модель: FocusКомплектация: SYNC Edition✅ 1.6 л. 105 л.с. МКПП.✅ Автомобиль в отличном состоянии!✅ Заводской окрас кузова (без ДТП).✅ Юридически чистый (без залогов, запретов и т.д.).✅ 2 Владельца.✅ Оригинал ПТС.✅ Эл. обогрев лобового стекла.✅ Кондиционер.✅ Подогрев сидений.✅ Мультируль.✅ Парктроники.✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компании KARSO!❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
Hyundai,Creta,"Сургут, Ханты-Мансийский автономный округ",2017,1980000,бензин 2.0 л,149л.с.,АКПП,4WD,,белый,134277км,левый,1 поколение,,05.05.2024, 17,"Модель: CretaКомплектация: Travel + Advanced + Style II✅ Двигатель 2.0 л. КПП - Автомат. 4WD✅ Автомобиль в отличном состоянии!✅ Юридически чистый (без залогов, запретов и т.д.).✅ 2 Владельца.✅ Оригинал ПТС.✅ Богатая комплектация.✅ Бесключевой доступ, запуск двигателя с кнопки “Start/Stop”.✅ Кожаный салон.✅ Круиз-контроль.✅ Подогрев всех сидений, руля, лобового стекла, боковых зеркал.✅ Климат-контроль.✅ Рейлинги.✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компании KARSO!Дополнительное оборудование:✅ Сигнализация с автозапуском.❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
Honda,Orthia,Новосибирск,1996,350000,бензин 2.0 л,145л.с.,АКПП,4WD,,серебристый,298000км,правый,1 поколение,,05.05.2024, 0,"Продается отличный автомобиль для своих годов. во владении два года. фото еще от предыдущего хозяина 2 летней давности, я фотоать не умею)но изменения с авто произошли только в лучшую сторону.За это время было сделано многое , а самое главное-замена ДВС пару дней назад на отличный контрактный мотор на специализированном хондовском автосервисе со всеми оригинальными расходниками .сумма вышла в 170т.р.все бумаги имеются.мотор супер-шепчет и прет!гарантия полтора месяца.мною сделано в авто после предыдущего хозяина-замена масел в редукторе, АКПП, фильтров.заменено лобовое стекло, установлена сигнализация СтарЛайн а 93, прошлой осенью заменена полностью выхлопная трасса на сумму 20 т.р., затонирована задняя полусфера американкой, поставлена Броня ДВС.из минусов что естественно-задние арки , как и у всех хонд этих годов.пыльник шрус порван.некогда пока самому поменять.имеется второй комплект колес , также на литых дисках.магнитола с блютус и usb.все стеклоподъёмники работают.заправлен кондёр и работает.4 вд работает как надо, далеко можно залезть)имеется старый ДВС, который идет в придачу)на нем стоит новый комплект грм с помпой, свечи.может отремонтируйте и будет 2 двигателя)салон отличный не прокуренный, не прожжённый не затертый.на все, что описано имеются бумаги и чеки.как видите -за 2 года наезжено 7 тыс.км.в машину вкладывался на 5+.продавать душа болит, но приобретен уже другой авто , поэтому этот не нужен и обмен не интересен."
Kia,Sportage,Москва,2024,5500000,бензин 2.5 л,190л.с.,автомат,передний,джип/suv 5 дв.,белый,новый автомобиль,левый,5 поколение,,05.05.2024, 0,"Модель: SportageКомплектация: Kia Sportage V 2.5 AT (190 л.с.) Импорт SportageХ-Line4WDАвтомир – официальный дилер Kia.Первоначальный взнос от 0%.Высокий уровень одобрения по банкам-партнерам!Выгодный обмен Вашего автомобиля на новый Kia.Получите персональное предложение!Предложение действительно только для физических лиц.Комплектация «Импорт»:• Бензиновый двигатель, 2.5 л., 190 л.с.• Антиблокировочная система• Система контроля слепых зон• Система предотвращения столкновения• Датчик давления в шинах• Подушки безопасности водителя• Подушки безопасности пассажира• Боковые передние подушки безопасности• Иммобилайзер• Центральный замок• Круиз-контроль• Парктроник передний и задний• Камера 360°• Система помощи при старте в гору• Система помощи при спуске с горы• Датчик света• Датчик дождя• Электро усилитель руля• Запуск двигателя с кнопки• Система доступа без ключа• Регулировка руля в двух плоскостях• Электрорегулировка сиденья водителя с памятью положения• Электростеклоподъемники передние и задние• Электропривод зеркал• Электропривод крышки багажника• Кондиционер• Вентиляция сидений водителя и пассажира• Подогрев сидений водителя, пассажира и задних пассажиров• Подогрев руля• Обогрев зеркал• Обогрев форсунок стеклоомывателей• USB• Радио• Bluetooth• 6 колонок• Электронная приборная панель• Мультифункциональное рулевое колесо• Беспроводная зарядка для телефона• Розетка 12V• Отделка кожей рычага КПП• Кожаный руль• Электрический люк• Панорамная крыша• Подрулевые лепестки переключения передач• Металлические накладки на педали• Накладки на пороги• Литые легкосплавные диски• Размер дисков 19″• Декоративные молдинги• Светодиодные фары• Противотуманные фары• Огни дневного хода• Полноразмерное запасное колесо"
Infiniti,FX50,"Набережные Челны, Республика Татарстан",2011,2400000,бензин 5.0 л,400л.с.,АКПП,4WD,,серебристый,194000км,левый,2 поколение,,05.05.2024, 0,"Продам Эксклюзивный автомобиль FX50Sport.в идеальном состоянии.Полный комплект ключей и документов , любые проверки в вашем сервисе.НЕ БИТ НЕ КРАШЕН кроме задней правой двери (царапина ) , без ДТП , без расчетов - идеально зеленая история авто , реальный пробег , чистейший некурящий салон . Полный оригинальный обвес RENEGADE DESING имеется сертификат соответствия от данной компании!Стоимость на сегодня под ключ с покраской около 500 000 р.ото и больше .Колесные диски R22 HAMANN. Резина Pirelli за Шумлена , без грыж и проколов , состояние отличное.Полная трасса BORLA . Выпуск 11 месяц 2011 года , эксплуатация с 2012 года . Свет доработан ЛЕДЫ В ОСНОВНЫХ ЛИНЗАХ , ЛЕДЫ В ТУМАНКАХ -светят очень круто. Тормоза доработаны -перед и зад вентилируемые , хватает с запасом .Весь перед и зоны риска в бронепленке . Комплектация спорт , с изменением жесткости амортизаторов и подруливанием задней оси . Видео кузова и салона по запросу . Торг у капота.Возможен обмен."
Nissan,Sunny,"Черногорск, Республика Хакасия",1999,400000,бензин 1.5 л,105л.с.,АКПП,передний,седан,белый,300000км,правый,9 поколение,,05.05.2024, 0,"отличный семейный автомобиль, сигнализация, магнитола, в подарок ева-коврики, заменены масла, ходовка обслуживалась своевременно, салон чистый, без посторонних запахов, сиденья не провалены, электростеклоподъемники рабочие, арки, пороги целые, вложений не требует. использовался бережно, с 2004 года в Хакасии. Продается без спешки, в надежные руки."
Citroen,Xsara,Краснодар,2004,615000,бензин 1.6 л,95л.с.,механика,передний,,зеленый,238000км,левый,1 поколение,1.6i MT SX,05.05.2024, 1,"2 хозяина, оригинальный ПТС, машина краснодарская с момента покупки, кузов оцинкован , рыжиков и прочее нет ни где , без ДТП, даже передний бампер в родной краске, стекла все оригинальные, включая лобовое ( без трещин) зеленая история авто, двигатель миллионник шепчет от замены до замены грамма масла не уходит, катализатор на месте всё как положено, по технике всё обслужено и вложений не требует, салон очень просторный трансформер чистый, со множеством мест для хранения. Вообщем отличный просторный семейный автомобиль в идеальном состоянии, с недорогим, содержанием, маленьким налогом ."
Ford,Focus,"Урус-Мартан, Чеченская Республика",2011,820000,бензин 2.0 л ГБО,145л.с.,АКПП,передний,седан,серебристый,361000км,левый,2 поколение рестайлинг,,05.05.2024, 0,2011г 2л aвтомaтГaз Чеpные стекла Дорoгой плaншет Kамepа заднeго видaKoндep морозит5 окpaсов был легкий удap cпepедиПoдушки cтpельнулиЕcли гoнять надо долить маслoМотoр нe дизелит не дымитXодoвaя cдeланa недaвнoОстальныe вoпpоcы по тeлТоргИнтeреcен обмен нa фф3 механикС моей доплатой
Volkswagen,Passat,Новосибирск,2010,920000,бензин 1.8 л,152л.с.,робот,передний,седан,серый,142000км,левый,6 поколение,1.8 TSI DSG Comfortline,05.05.2024, 1,"Цена 920 буквально на неделю, пока продавец интересующего меня авто ждёт!Торга нет!!!Я 4й собственник. Периоды регистрации ТС:1. 31.08.10 по 17.09.152. 17.09.15 по 03.10.213. 03.10.21 по 20.10.234. 20.10.23 по настоящее время. В ПТС еще есть место.Автомобиль в достойном состоянии. Хорошо обслужен. В конце прошлого года, полностью обновили ходовку, стойки, пружины, рычаги и все что требовалось, практически на 100 тыс.руб.(имеются заказ-наряды и акты выполненных работ). Двигатель, коробка, без нареканий. Салон соответствует пробегу, руль не затерт, сиденья не порваны. Немного поврежден левый угол заднего бампера (на фото), больше повреждений нет. Пробег честный, не скручен!Хорошая комплектация, подогрев лобового стекла, сидений, зеркал и прочее. Два родных ключа, дополнительно установлена сигнализация StarLine. Два комплекта колес.Смотрите отчёт по автомобилю, там все чисто и прозрачно.Продаём исключительно из-за того, что нужен автомобиль выше и 4wd.Если не беру трубку, пишите, не всегда есть возможность ответить, я перезвоню."
Opel,Zafira,Москва,2021,3410000,дизель 2.0 л,150л.с.,АКПП,передний,,черный,73662км,левый,1 поколение,,05.05.2024, 1,"Модель: Zafira LifeКомплектация: Opel Zafira Life I L 2.0d AT (150 л.с.)Один владелец. ПТС оригинал. Отличное состояние автомобиля.Комплектация:• Дизельный двигатель, 2 л., 150 л.с.• Антиблокировочная система• Система курсовой устойчивости• Подушки безопасности• Система крепления детских автокресел• Центральный замок• Бортовой компьютер• Круиз-контроль• Парктроник• Камера• Датчик света• Датчик дождя• Усилитель руля• Система доступа без ключа• Электростеклоподъемники• Электроскладывание зеркал• Климат-контроль• Подогрев сидений водителя и пассажира• Обогрев зеркал• Обогрев лобового стекла• Обогрев зоны стеклоочистителей• Bluetooth• Мультифункциональное рулевое колесо• Противотуманные фары• Запасное колесо"
Mazda,Demio,Абакан,2003,525000,бензин 1.3 л,91л.с.,АКПП,передний,,желтый,,правый,2 поколение,,05.05.2024, 0,
Nissan,Almera,Брянск,2001,300000,бензин 1.5 л,90л.с.,механика,передний,хэтчбек 5 дв.,синий,299015км,левый,2 поколение,1.5 MT Acenta,05.05.2024, 0,"Я собственник, передвигаюсь на ней каждый день, масло не ест, по технической части все в полном порядке, за время владения ни разу не подвела, по кузову есть недочеты как и у любой машины старше 20 лет, пороги переварены, люфта руля нет, в руль не бьет, из минусов не работает кондиционер, правое заднее крыло подмято, капот от реста, много было починено, по всем интересующим вопросам звоните, пишите все расскажу, на месте все покажу"
Kia,K5,"Белокуриха, Алтайский край",2020,3097000,бензин 2.0 л,160л.с.,АКПП,передний,,серый,51000км безпробегапоРФ,левый,3 поколение,2.0 CVVL AT 2WD Signature,05.05.2024, 1,"ПРОДАМ К5 , В ОТЛИЧНОМ СОСТОЯНИИ.СБОРКА КОРЕЯАВТОЗАПУСК С ЗАВОДА.ДВА КОМПЛЕКТА РЕЗИНЫ.РУСИФИКАЦИЯ СДЕЛАНА.ДВА КОМПЛЕКТА КЛЮЧЕЙ.ДАТА ПРИБЫТИЯ В РОССИЮ 26.11.2023 г.КОММЕРЧЕСКИЙ УТИЛЬ СБОР ОПЛАЧЕН.ТОРГ ЕСТЬ!Комплектация:✅Светодиодные фары✅Светодиодные ходовые огни			✅Дополнительный стоп-сигнал	✅Датчик света	✅Датчик дождя	✅Боковые зеркала в цвет кузова	✅Боковые зеркала с повторителями указателей поворота	✅Электропривод боковых зеркал	✅ зеркал	✅Ручки дверей хромированные	✅Бесконтактное открытие багажника ✅Кожаная оплетка рулевого колеса		✅Телескопическая регулировка руля	✅Вертикальная регулировка руля	✅Управление аудиосистемой на руле	✅Цветной многофункциональный дисплей	12.3""✅Кнопка запуска двигателя	✅Кожаная обивка салона	✅Регулировка передних сидений	сиденье водителя регулируется по высоте✅Второй ряд сидений	складывается в соотношении 60/40✅Поясничная опора в передних сиденьях	✅Разделительный подлокотник спереди	✅Разделительный подлокотник сзади	✅Карманы на спинках передних сидений	✅Электропривод водительского сиденья	✅Электропривод передних сидений	✅Вентиляция передних сидений	✅Вентиляция задних сидений✅Центральный замок	✅ Ключ ДУ (дистанционный ключ)	✅Безключевой доступ✅Электрические стеклоподъемники передние	✅Электрические стеклоподъемники задние	✅Электроподогрев рулевого колеса	✅Обогрев форсунок стеклоомывателя	✅Разъем электропитания	✅Активные и пассивные системы безопасности✅Крепление ISOFIX	✅Электронные системы безопасности и контроля движения✅Антиблокировочная система (ABS)	✅Система распределения тормозного усилия (EBD)	✅Вспомогательная система торможения (BAS)	✅Автоматическое включение аварийной сигнализации при экстренном торможении	✅Система электронного контроля устойчивости (ESP)	✅Антипробуксовочная система (TCS)	✅Система помощи при спуске с горы (DAC)✅Переключатель режимов движения	✅Ассистент сохранения полосы движения	✅Система предотвращения выезда из полосы движения (LKA)		✅ Адаптивный круиз-контроль (ACCS)		✅ Функция ""Проводи меня домой""	—✅ Система управления дальним светом	✅ Динамическое освещение поворотов	✅Система адаптивного освещения дороги (AFS)	✅Система мониторинга «слепых зон»	✅Система контроля давления в шинах	✅Передний парктроник	✅Задний парктроник	✅Система предотвращения столкновения с функцией автоматического торможения	✅Система контроля усталости водителя	✅Кондиционер	✅ Климат-контроль	✅ Раздельный климат-контроль	2 зоны✅Очиститель воздуха✅ Поддержка MP3	✅ Hands free	✅ Дополнительное оборудование аудиосистемы	6 динамиков, AUX, USB, Bluetooth ✅Дополнительное оборудование аудиосистемы (опция)	12 динамиков, внешний усилитель, AUX, USB, ✅ Bluetooth✅ Навигационное и видео оборудование✅ Полноцветный ЖК-монитор	10.25"" сенсорный✅Система навигации	✅Камера переднего обзора	✅Камеры бокового обзора	✅Камера заднего обзора	✅Самозатемняющееся зеркало заднего вида	✅ Зеркало заднего вида с противоослепляющим эффектом	✅Зеркала в противосолнечных козырьках	✅Подсветка при посадке в салон	✅Бортовой компьютер	✅Подсветка	светодиодная"
Лада,2104,"Татищево, Саратовская область",2005,60000,бензин 1.5 л,71л.с.,механика,задний,,зеленый,111000км,левый,1 поколение,,05.05.2024, 0,"Продаю ваз 2104 2 хозяина , птс оригинал Коробка 5 ти ст отличная, мотор тоже хороший на полном ходу , но желательно заменить головку , головка есть отдам в придачу после капиталкиПо ходовой всё отлично Снизу всё целое, в том числе лонжероны и солдатик тожеМотор меняный , родной блок отдам впридачу Смотреть в Татищево"
Лада,2114,"Полтавская, Краснодарский край",2005,225000,бензин 1.5 л,77л.с.,механика,передний,хэтчбек 5 дв.,черный,200000км,левый,1 поколение,1.5 MT Базовая,05.05.2024, 0,"Продам Четырку в хорошем состоянии.Документы в порядке, без ограничений, учёт на мне.Двигатель и кпп в порядке. По дну проблемные места переварены. Музыка (магнитола Pioneer и колонки в дверях и сзади) бортовой компьютер. Резина Yokohama. Недавно заменил ; бензонасос, ремень генератора, катушку, броне провода, датчики. Машина на полном ходу, доедет куда угодно. Есть небольшие недочеты, на них уступлю в цене.В приоритете продажа, но интересный обмен так же рассмотрю"
Toyota,Mark,Москва,2003,1600000,бензин 2.0 л,160л.с.,АКПП,задний,седан,белый,264000км,правый,9 поколение рестайлинг,2.0 Grande,05.05.2024, 0,В идеальном состоянииВсе вопросы по телефону
Hyundai,Accent,Краснодар,2006,395000,бензин 1.5 л,102л.с.,механика,передний,седан,,,левый,2 поколение,,05.05.2024, 0,ПО ЗАПРОСУ СКИНУ ВИДЕООБЗОР НА ЭТОТ АВТОМОБИЛЬ! ЗЕЛЕНАЯ ИСТОРИЯ АВТО! Машина в заводском родном окрасе! Вторичный окрас только у капота. Состояние завёл и поехал! На отличном уверенном ходу! Юридически кристально чистый автомобиль!
Tank,300,Санкт-Петербург,2024,4799000,бензин 2.0 л,220л.с.,АКПП,4WD,,серый,новый автомобиль,левый,1 поколение,2.0 AT 4WD City Premium,05.05.2024, 0,Серый Шантар неметалликИнтерьер: Отделка сидений кожей NAPPA
Tank,300,Санкт-Петербург,2024,4349000,бензин 2.0 л,220л.с.,АКПП,4WD,,оранжевый,новый автомобиль,левый,1 поколение,2.0 AT 4WD City Adventure,05.05.2024, 0,Чарский Оранжевый металликИнтерьер: Отделка сидений искуственной кожей
Tank,300,Санкт-Петербург,2024,4199000,бензин 2.0 л,220л.с.,АКПП,4WD,,белый,новый автомобиль,левый,1 поколение,2.0 AT 4WD Adventure,05.05.2024, 0,Белый Ольхон металликИнтерьер: Отделка сидений искуственной кожей
Chevrolet,Cruze,"Раевская, Краснодарский край",2009,610000,бензин 1.6 л,109л.с.,АКПП,передний,седан,синий,186000км,левый,1 поколение,,05.05.2024, 0,продам Шевроле Круз 2009 коробка механика торг
Tank,500,Санкт-Петербург,2024,6749000,бензин 2.0 л гибрид,245л.с.,АКПП,4WD,,золотистый,новый автомобиль,левый,1 поколение,HEV 2.0T AT 4WD Urban,05.05.2024, 0,Золото РускеалаОтделка сидений кожей NAPPA КоричневыйИнтерьер: Отделка сидений кожей NAPPA Коричневый
Toyota,4Runner,"Куса, Челябинская область",1994,928000,бензин 3.0 л,145л.с.,механика,4WD,джип/suv 5 дв.,зеленый,270000км,левый,2 поколение рестайлинг,3.0 MT 4WD,05.05.2024, 0,"Живой, обслуженный вездеход. Звоните расскажу. Желательно обмен на российский автомпром, в приоритете нива с вашей доплатой."
Chevrolet,Niva,"Туринск, Свердловская область",2007,90000,бензин 1.7 л,80л.с.,механика,4WD,,,100000км,левый,1 поколение,,05.05.2024, 0,
Mitsubishi,Pajero,Махачкала,1994,430000,дизель 2.5 л,99л.с.,механика,4WD,джип/suv 5 дв.,синий,300000км,левый,2 поколение,,05.05.2024, 0,все вопросы по телефону
Toyota,Carina,Абакан,2000,530000,бензин 1.5 л,100л.с.,АКПП,передний,седан,серебристый,401000км,правый,7 поколение рестайлинг,1.5 Ti,05.05.2024, 0,"Продам карину в хорошем состоянии для своих лет ни рыжая ни гнилая , кости все родные , по кузову ровная вложений не требует .Документы чистые без подводных камней , собственникНаходится в таштыпе"
Hyundai,ix35,"Холмская, Краснодарский край",2014,1610000,бензин 2.0 л,150л.с.,АКПП,передний,,коричневый,109567км,левый,1 поколение рестайлинг,2.0 AT 2WD Travel,05.05.2024, 0,"Не битый, не крашеный. Реальный пробег. Не требует никаких вложений. Хорошая комплектация. Собственник. 03.05.24. сделал ТО. Всё, что нужно сделать, сделано. Помощь в продаже не НУЖНА. Торг на бензин."
Лада,21099,"Исилькуль, Омская область",1996,75000,бензин 1.5 л,70л.с.,механика,передний,,зеленый,135000км,левый,1 поколение,,05.05.2024, 0,"продам автомобиль в хорошем состоянии, в данное время машина без вложения, двигатель не дымит не троит не сапунит капеталелся зимой, дно пароги стаканы аранжероны карманы всё целое, ходовая часть на4, коробка на5 все скоростя переключает мягко, стоит подогрев двигателя, 2стёклаподъемника, стоит не плохая музыка все вопросы по тел"
Citroen,Berlingo,Минск,2020,1787990,дизель 1.5 л,130л.с.,АКПП,передний,,черный,118000км,левый,3 поколение,1.6 BlueHDi AT XL,05.05.2024, 0,
Nissan,Juke,"Гагарин, Смоленская область",2014,1390000,бензин 1.6 л,117л.с.,вариатор,передний,,белый,151000км,левый,1 поколение,,05.05.2024, 0,"Автомобиль в отличном состоянии, все исправно работает, вложений не требует. ПТС оригинал содержит 4 записи( два, это сервисы по продаже автомобилей и два реальных собственника). Эксплуатировалась аккуратно, за машинкой ухаживали. Полностью пройдено ТО на 150000 в профильном сервисе Nissan, заменены все расходники.Сделана шумоизоляция, установлена камера заднего вида, установлено нештатное головное устройство на ОС android с возможностью подключения android/apple auto. Шины летние новые( покупались в марте 2024 ikon tyres), в подарок комплект зимней резины."
Nissan,Note,"Ирбит, Свердловская область",2008,498000,бензин 1.4 л,88л.с.,механика,передний,,черный,,левый,1 поколение,,05.05.2024, 0,
Toyota,Mark,"Искитим, Новосибирская область",1995,385000,бензин 2.0 л,135л.с.,АКПП,задний,седан,серый,500000км,правый,7 поколение рестайлинг,,05.05.2024, 0,Продам либо обменяют на авто поменьше не подошол размером для супруге модно как акпп так же и мкпп.марк на полном ходу в объявлении номер супруге пишите сюда дам свой
Toyota,Camry,Кызыл,2020,3250000,бензин 2.5 л,181л.с.,АКПП,передний,седан,белый,34500км,левый,9 поколение,2.5 AT Стандарт Плюс,05.05.2024, 1,"Авто в идеальном состоянии , звоните пишите по указанному номеру ."
Opel,Corsa,Екатеринбург,2012,520000,бензин 1.2 л,85л.с.,механика,передний,хэтчбек 5 дв.,белый,215км,левый,4 поколение рестайлинг,1.2 MT Cosmo 5dr.,05.05.2024, 0,"Обслуживался вовремя, третий владелец, нареканий нет!"
Volkswagen,Passat,Ростов-на-Дону,2000,400000,дизель 1.9 л,115л.с.,механика,передний,универсал,зеленый,341000км,левый,5 поколение,,05.05.2024, 0,"Mожем прoдать aвтомобиль людям с пacпopтaми ДНР , ЛНP и Укpаины - в КРЕДИТ и зa HАЛИЧHЫE !!! А тaк же помoгаем c пeрeофoрмлeнием в ГИБДД ! ☝️Всe автомoбили пpошли кoмплекcную провepку техническoгo сoстoяния🛠️ ✅Юpидичecкая чистотa 📑💯%Бoлeе 1000 довольных клиентов 📊👍Volkswagen Passat ’2000 B5 🔥-Родной пробег✅-Ростовский учет✅-Хорошая комплектация✅-Отличная динамика ✅-Надежный двигатель✅-Хорошее техническое и внешнее состояние✅Комплектация: климат-контроль, мультимедиа, бортовой компьютер, подогрев зеркал, подогрев сидений, подогрев заднего стекла, стеклоподъемники, электропривод зеркал, подушки безопасности и т.дПреимущества покупки автомобиля с пробегом в компании Эксперт Моторс:1. Наш автосалон предоставляет 100% гарантию юридической чистоты. Все автомобили проходят многоуровневую проверку на предмет залога, угона, кражи, штрафов;2. Возможность обменять свой автомобиль (даже с непогашенным кредитом) на любой, который вы выберите у нас (новый или с пробегом)3. Гибкие условия покупки автомобиля в кредит:  · Первоначальный взнос от 0%  · Минимальный комплект документов для подачи заявки: паспорт РФ и любой второй документ удостоверяющий личность (Водительское удостоверение, СНИЛС, Загранпаспорт)  · Принимаются дистанционные заявки на кредит по телефону  · Кратчайшие сроки рассмотрения заявки всего за 1 час  · Возможность оставить свой автомобиль как первоначальный взнос  · Срок кредита – от 12 мес. до 8 лет  · Наличие более 15 ведущих банков партнёров позволят нам подобрать для Вас наиболее выгодные условия!4. Уникальные и прозрачные условия выкупа Вашего автомобиля, Вы совместно с нашими специалистами принимаете участие на всех этапах процедуры оценки Вашего авто, что позволит нам вместе сформировать оптимальную цену на Ваш автомобиль.5. Возможность запросить дополнительно фото и видео презентацию автомобиля у менеджера.6. В наличии более 300 автомобилей с пробегом по группе компании.7. Индивидуальным подход к каждому клиенту.Ждем Вас на пробную поездку по адресу: г. Ростов- на- Дону, ул. Малиновского 184. “Эксперт Моторс”."
Mazda,Demio,Омск,2015,1000000,бензин 1.3 л,92л.с.,АКПП,передний,,синий,123000км,правый,4 поколение, 1.3 13S Mid Century,05.05.2024, 847,"Я собственник, на учёте на мне. Двигатель, коробка на отлично! В целом состояние хорошее, много функций. i-stop, туманки, кнопка старт-стоп!заводилась всю зиму на отлично в любой мороз, печка греет, кондиционер морозит в общем всё что есть, всё работает! 6-и ступенчатый автомат, очень резвая и экономичная. Я 3-й хозяин ездила девушка что у меня, что у предыдущего владельца. Сигнализация с автозапуском СтарЛайн, новые литые диски с резиной !Мультимедия поддерживает все форматы( Bluetooth с громкой связью). Все стекла заводские. В подарок отдам зимние колёса! В России с 2019 года, заехала с пробегом 51т.к Техосмотр пройден, действительный ещё пол года С документами полный порядок могу присутствовать в ГАИ АВТОСАЛОНАМ НЕ ЗВОНИТЬ!!"
Ford,Focus,Омск,2004,370000,бензин 1.6 л,100л.с.,механика,передний,седан,серебристый,176000км,левый,1 поколение рестайлинг,1.6 MT Base,05.05.2024, 0,"Продаётся Форд фокус 1 для своих лет в ОТС, есть жизненные коцки, машина вовремя обслуживалась , стоит сигнализация старлайн а91, остальное по телефону. Торг строго у капота!!!"
BMW,X7,"Сочи, Краснодарский край",2023,18990000,дизель 3.0 л,340л.с.,автомат,4WD,,черный,новый автомобиль,левый,,,05.05.2024, 0,"Модель: X7Комплектация: BMW X7 I (G07) Рестайлинг 40d 3.0d AT (340 л.с.) 4WD xDrive40d M Sport ProСтоимость авто с учетом максимальной скидки 17490000 р.АТЛАС. ВРЕМЯ ПЕРЕМЕН.Особые условия при замене Вашего автомобиля.Гарантия 2 года. Замена масла в гарантийный срок – бесплатно.Преимущества покупки автомобиля BMW в ""Атлас"".1. Скидки и индивидуальный подход при обслуживании в Краснодаре и Сочи.2. Выгодные условия покупки Вашего автомобиля по программе трейд-ин, гарантияобратного выкупа любого приобретенного у нас автомобиля.3. Дополнительная выгода при покупке мотоциклов BMW и автомобилей MINI.4. Более 10 страховых компаний, включая самые крупные и популярные в стране, специальные условия страхования.Цвет: 475 Черный Сапфир металликВн обшивка: KPHF Sensafin с декоративной прострочкой Кофе0322	Комфортный доступ0418	Комплект для багажного отделения0456	Сиденье повыш.комфортн. с памятью полож.04UR	Сопровождающее освещение салона05AC	Автоматическое включение дальнего света05AL	Active Protection01FL	BMW л/с диск, сдвоенные сп.913M STD HP01MA	Спортивная выхлопная система M02VB	Индикация давления в шинах0300	Аварийное колесо0323	Автодоводчик дверей0337	Спортивный комплект стиль M033B	М СПОРТ ПАКЕТ PRO03DN	BMW решетка радиатора iconic glow03M3	Спортивный тормоз M, черный глянцевый03MC	Инд.полозья баг.на кр.Hochgl Shadow Line0417	Солнецезащитная штора окна двери Зд0420	Солнце защитное остекление0423	Ножные коврики Velours044A	Подстаканник с поддержкой температуры04A2	Стеклянная накладка Crafted clarity04FL	Багажная система Travel & Comfort04GQ	M ремни безопасности04HA	обогрев передних и задних сидений04HB	Пакет Waermekomfort Пд04KT	Цен.древ.тополь антр.кор.с откр.порами05AS	Driving Assistant05DN	Система парковки Plus0688	Harman/Kardon система объемного звучания06CP	Подготовка Apple Carplay06NX	Лоток для беспроводной зарядки06U3	BMW Live кокпит Professional06U8	Система управления жестами BMW0710	Кожаное рулевое колесо в M-стиле0715	Аэродинамический комплект M Technic0760	Shadow-Line с зеркальным блеском0776	Потолок Alcantara антрацит07M9	Инд.блестящая отделка Shadow LineСтоимость автомобиля указана без учета дополнительного оборудования.На данный автомобиль действует специальное ценовое предложение. Минимальная цена достигается путем приобретения авто в кредит и сдачи Вашего автомобиля в качестве первоначального взноса."
Toyota,Hilux,Томск,1990,1560000,бензин 3.0 л,,автомат,4WD,,серый,200008км,правый,5 поколение,,05.05.2024, 0,Все вопросы по телефону.
Nissan,Tiida,Красноярск,2005,645000,бензин 1.5 л,109л.с.,вариатор,передний,хэтчбек 5 дв.,серый,250000км,правый,1 поколение,,05.05.2024, 0,"Продам очень надёжный авто. Я собственник, машина на мне. В собственности 3 года. Машина без аварий. Все стекла родные.Все железо родное, шпакли нигде нет.Коробка и двигатель ОТС. Заводится всегда с первого раза в том числе зимой. Кузов без ржавчины и гнили.Ходовку делал.Без ключевой доступ, сигналка starline, ионизатор воздуха.Приятный светлый салон.Есть вложения по мелочи."
